=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
 271 0x0000abf5 0x1000abf5   5    5 .text   ascii   DSVWQ
 272 0x0000ac35 0x1000ac35   5    5 .text   ascii   DSVWQ
 273 0x0000ac75 0x1000ac75   5    5 .text   ascii   DSVWQ
 274 0x0000acb5 0x1000acb5   5    5 .text   ascii   DSVWQ
 275 0x0000acf5 0x1000acf5   5    5 .text   ascii   DSVWQ
 276 0x0000ad35 0x1000ad35   5    5 .text   ascii   DSVWQ
 277 0x0000ad75 0x1000ad75   5    5 .text   ascii   DSVWQ
 278 0x0000adb5 0x1000adb5   5    5 .text   ascii   DSVWQ
 279 0x0000adf5 0x1000adf5   5    5 .text   ascii   DSVWQ
 280 0x0000ae35 0x1000ae35   5    5 .text   ascii   DSVWQ
 281 0x0000ae75 0x1000ae75   5    5 .text   ascii   DSVWQ
 282 0x0000aeb5 0x1000aeb5   5    5 .text   ascii   DSVWQ
 283 0x0000aed4 0x1000aed4   5    5 .text   ascii   H(_^[
 284 0x0000aef5 0x1000aef5   5    5 .text   ascii   DSVWQ
 285 0x0000af35 0x1000af35   4    4 .text   ascii   LSVW
 286 0x0000afe5 0x1000afe5   5    5 .text   ascii   \SVWQ
 287 0x0000b09a 0x1000b09a   4    5 .text   ascii   B@+E
 288 0x0000b0ba 0x1000b0ba   4    5 .text   ascii   f9\au
 289 0x0000b145 0x1000b145   5    5 .text   ascii   xSVWQ
 290 0x0000b15e 0x1000b15e   4    5 .text   ascii   E\b;E
 291 0x0000b183 0x1000b183   4    5 .text   ascii   U\f;U
 292 0x0000b280 0x1000b280   4    5 .text   ascii   ;M\b}
 293 0x0000b2e2 0x1000b2e2   4    5 .text   ascii   E\f;E
 294 0x0000b2ee 0x1000b2ee   4    4 .text   ascii   M\b;M
 295 0x0000b2f6 0x1000b2f6   4    4 .text   ascii   U\f;U
 296 0x0000b33d 0x1000b33d   4    4 .text   ascii   E\b;E
 297 0x0000b345 0x1000b345   4    4 .text   ascii   M\f;M
 298 0x0000b37b 0x1000b37b   4    4 .text   ascii   E\b;E
 299 0x0000b383 0x1000b383   4    4 .text   ascii   M\f;M
 300 0x0000b3e8 0x1000b3e8   4    5 .text   ascii   M\b;M
 301 0x0000b40a 0x1000b40a   4    4 .text   ascii   M\f;M
 302 0x0000b468 0x1000b468  16   16 .text   ibm037  (\i(Y»íUJSiíü»áU
 303 0x0000b481 0x1000b481   4    4 .text   ascii   M\b;M
 304 0x0000b489 0x1000b489   4    4 .text   ascii   U\f;U
 305 0x0000b4bf 0x1000b4bf   4    4 .text   ascii   M\b;M
 306 0x0000b4c7 0x1000b4c7   4    4 .text   ascii   U\f;U
 307 0x0000b52c 0x1000b52c   4    5 .text   ascii   M\f;M
 308 0x0000b54e 0x1000b54e   4    4 .text   ascii   M\b;M
 309 0x0000b5a7 0x1000b5a7   4    4 .text   ascii   U\b;U
 310 0x0000b5af 0x1000b5af   4    4 .text   ascii   E\f;E
 311 0x0000b605 0x1000b605   4    4 .text   ascii   U\b;U
 312 0x0000b60d 0x1000b60d   4    4 .text   ascii   E\f;E
 313 0x0000b643 0x1000b643   4    4 .text   ascii   U\b;U
 314 0x0000b64b 0x1000b64b   4    4 .text   ascii   E\f;E
 315 0x0000b6b0 0x1000b6b0   4    5 .text   ascii   M\b;M
 316 0x0000b6d2 0x1000b6d2   4    4 .text   ascii   M\f;M
 317 0x0000b74a 0x1000b74a   4    4 .text   ascii   E\b;E
 318 0x0000b752 0x1000b752   4    4 .text   ascii   M\f;M
 319 0x0000b788 0x1000b788   4    4 .text   ascii   E\b;E
 320 0x0000b790 0x1000b790   4    4 .text   ascii   M\f;M
 321 0x0000b7f2 0x1000b7f2   4    5 .text   ascii   M\f;M
 322 0x0000b814 0x1000b814   4    4 .text   ascii   M\b;M
 323 0x0000ba95 0x1000ba95   5    5 .text   ascii   TSVWQ
 324 0x0000bae6 0x1000bae6   4    5 .text   ascii   ;H\f|
 325 0x0000baf1 0x1000baf1   6    7 .text   ascii   U\b;U\fu
 326 0x0000bbd3 0x1000bbd3   7    7 .text   ascii   M\b;M\f~\e
 327 0x0000bbdb 0x1000bbdb   5    5 .text   ascii   U\b3U\f
 328 0x0000bbe4 0x1000bbe4   5    5 .text   ascii   E\f3E\b
 329 0x0000bbed 0x1000bbed   5    5 .text   ascii   M\b3M\f
 330 0x0000bc0d 0x1000bc0d   6    7 .text   ascii   M\b;H\b}
 331 0x0000bc2c 0x1000bc2c   5    6 .text   ascii   M\f;\b}
 332 0x0000bc4f 0x1000bc4f   5    6 .text   ascii   M\b;\b}
 333 0x0000bc89 0x1000bc89   7    7 .text   ascii   M\f;H\b| 
 334 0x0000bcd8 0x1000bcd8   5    5 .text   ascii   E\f+E\b
 335 0x0000bde5 0x1000bde5   5    5 .text   ascii   TSVWQ
 336 0x0000be15 0x1000be15   5    6 .text   ascii   M\b;\b|
 337 0x0000be33 0x1000be33   6    7 .text   ascii   M\b;H\b|
 338 0x0000be40 0x1000be40   4    5 .text   ascii   U\f;U
 339 0x0000bf22 0x1000bf22   4    5 .text   ascii   M\f;M
 340 0x0000bf2a 0x1000bf2a   4    5 .text   ascii   U\f3U
 341 0x0000bf3c 0x1000bf3c   4    5 .text   ascii   M\f3M
 342 0x0000bf5c 0x1000bf5c   6    7 .text   ascii   M\f;H\f}
 343 0x0000bf9f 0x1000bf9f   4    5 .text   ascii   M\f;H
 344 0x0000bfdd 0x1000bfdd   5    5 .text   ascii   ;H\f| 
 345 0x0000c047 0x1000c047   5    5 .text   ascii   +M\fAf
 346 0x0000c145 0x1000c145   5    5 .text   ascii   xSVWQ
 347 0x0000c15e 0x1000c15e   4    5 .text   ascii   E\b;E
 348 0x0000c193 0x1000c193   4    5 .text   ascii   E\f;E
 349 0x0000c31a 0x1000c31a   5    5 .text   ascii   ;U\b}T
 350 0x0000c332 0x1000c332   5    5 .text   ascii   E 3E$
 351 0x0000c33b 0x1000c33b   5    5 .text   ascii   M$3M 
 352 0x0000c344 0x1000c344   5    5 .text   ascii   U 3U$
 353 0x0000c36b 0x1000c36b   5    5 .text   ascii   E$+E(
 354 0x0000c3bb 0x1000c3bb   6    7 .text   ascii   U(;U |
 355 0x0000c3c3 0x1000c3c3   5    5 .text   ascii   E(+E 
 356 0x0000c3cc 0x1000c3cc   5    5 .text   ascii   M$+M(
 357 0x0000c3d7 0x1000c3d7   5    5 .text   ascii   U +U(
 358 0x0000c402 0x1000c402   4    5 .text   ascii   M\f;M
 359 0x0000c40e 0x1000c40e   4    4 .text   ascii   U\b;U
 360 0x0000c416 0x1000c416   4    4 .text   ascii   E\f;E
 361 0x0000c45d 0x1000c45d   4    4 .text   ascii   M\b;M
 362 0x0000c465 0x1000c465   4    4 .text   ascii   U\f;U
 363 0x0000c4a4 0x1000c4a4   4    4 .text   ascii   U\b;U
 364 0x0000c4ac 0x1000c4ac   4    4 .text   ascii   E\f;E
 365 0x0000c559 0x1000c559   4    5 .text   ascii   M\b;M
 366 0x0000c591 0x1000c591   4    4 .text   ascii   E\f;E
 367 0x0000c64b 0x1000c64b   4    4 .text   ascii   U\b;U
 368 0x0000c653 0x1000c653   4    4 .text   ascii   E\f;E
 369 0x0000c692 0x1000c692   4    4 .text   ascii   E\b;E
 370 0x0000c69a 0x1000c69a   4    4 .text   ascii   M\f;M
 371 0x0000c747 0x1000c747   4    5 .text   ascii   M\f;M
 372 0x0000c796 0x1000c796   4    4 .text   ascii   M\b;M
 373 0x0000c832 0x1000c832   4    4 .text   ascii   U\b;U
 374 0x0000c83a 0x1000c83a   4    4 .text   ascii   E\f;E
 375 0x0000c890 0x1000c890   4    4 .text   ascii   U\b;U
 376 0x0000c898 0x1000c898   4    4 .text   ascii   E\f;E
 377 0x0000c8d7 0x1000c8d7   4    4 .text   ascii   E\b;E
